model_id,name,category,origin,implementation,repository_path,deployment,responsibility,canonical_interfaces,authoritative_state,uaf_type,sysml_type
VV-CMP-001,MCP gateway,Core deployable,first-party,Rust,platform/gateway,one or more replicas,"Aggregates policy-scoped MCP profiles; terminates OAuth; evaluates policy; records audit; issues short-lived internal identity; proxies declared hosted-server administration projections and governed artifact downloads.","HTTPS; MCP Streamable HTTP; OAuth/OIDC; internal HTTP; SurrealDB WebSocket",SurrealDB control revisions and security records,Software,Block
VV-CMP-002,Console BFF,Core deployable,first-party,Rust,apps/console/bff,one or more replicas,"Owns the browser security boundary, PKCE login, encrypted HttpOnly sessions, CSRF enforcement, installation projections, and explicit administrative workflows.","HTTPS; same-origin JSON; OAuth; gateway admin and artifact routes",Encrypted browser session cookie only,Software,Block
VV-CMP-003,Operations console web application,Core application,first-party,React and TypeScript,apps/console/web,static assets served by Console BFF,"Presents health, tasks, artifacts, agents, recordings, MCP topology, policy, audit, and installation state without receiving gateway bearer tokens.","HTTPS; same-origin Console BFF API",No authoritative state,Software,Block
VV-CMP-004,Artifact service,Core deployable,first-party,Rust,platform/artifacts/service,one or more replicas,"Enforces tenant, label, grant, release, retention, share-link, and write-capability policy for governed artifact occurrences and bytes.","Internal HTTP; public share redemption; S3-compatible API; SurrealDB WebSocket",SurrealDB artifact identity and authorization records; object store bytes,Software,Block
VV-CMP-005,Recording Hub,Core deployable,first-party,Rust,platform/recordings/hub,single private spooler per recording volume,"Accepts gateway-authorized recording batches, journals small durable RRD parts, and publishes keyframe-aligned immutable archive shards through one footer-writing object-store compaction pass.","Private authenticated HTTP; versioned protobuf; filesystem RRD parts and archive shards; SurrealDB WebSocket",Internal durable parts; immutable RRD archive shards; SurrealDB recording catalog,Software,Block
VV-CMP-006,Agent kernel,Core agent component,first-party,Rust,agents/kernel,operator-launched agent process,"Runs bounded autonomous episodes with MCP tools, durable input requests, memory, replay, budgets, recording, and detach/resume behavior.","MCP Streamable HTTP; agent runtime API; DuckDB; Rerun",SurrealDB-backed runtime descriptors; RRD episode evidence,Software,Block
VV-CMP-007,Agent runtime,Core library,first-party,Rust,agents/runtime,linked into agent processes,"Persists agents, wakes, episodes, watcher leases, retry schedules, task descriptors, results, and retention pins across process restart.","Rust API; SurrealDB WebSocket; durable outbox",SurrealDB agent records and outbox,Software,Block
VV-CMP-008,Platform store,Core library,first-party,Rust,platform/store,linked into platform services,"Owns persistence record types, ordered migrations, stable identities, transactional outbox, changefeed replay, and platform-store access.","Rust API; SurrealDB WebSocket",SurrealDB 3.2.3,Software,Block
VV-CMP-009,Durable task runtime,Core library,first-party,Rust,platform/task-runtime,linked into durable workers,"Owns UUIDv7 task creation, idempotency, leases, claims, progress, durable input, cancellation, terminal results, retention, recovery, and outbox transitions.","Rust API; platform store; outbox",SurrealDB task and provider-job records,Software,Block
VV-CMP-010,DuckDB runtime,Core library,first-party,Rust,platform/runtimes/duckdb,linked into analytical components,"Provides owner-scoped DuckDB workspace construction and locked analytical execution primitives.","Rust API; DuckDB C API and files",Owner-scoped DuckDB workspace files,Software,Block
