interface_id,name,source_id,target_id,protocol_or_contract,direction,identity_and_policy,data,availability_and_recovery
VV-IF-001,External MCP profile access,VV-EXT-MCP-CLIENT,VV-CMP-001,"HTTPS; sessionful MCP Streamable HTTP with event-stream responses; JSON-RPC",bidirectional,"Gateway OAuth access token bound to profile and protected resource; per-method and target-aware policy","Tools, resources, templates, prompts, completions, tasks, subscriptions, notifications, structured content",One active gateway process owns every client session
VV-IF-002,Browser console access,VV-EXT-BROWSER,VV-CMP-002,"HTTPS; HTML; same-origin JSON",bidirectional,"Encrypted HttpOnly SameSite session plus CSRF on unsafe requests","Installation projections, task controls, artifact workflows, and hosted MCP Apps",Browser never receives gateway bearer; BFF replicas use encrypted cookie state
VV-IF-003,Console static application,VV-CMP-002,VV-CMP-003,"HTTPS static assets",outbound,"CSP, frame denial, MIME sniff prevention, and same-origin referrer policy","React application assets",Immutable build assets
VV-IF-004,Console to gateway administration,VV-CMP-002,VV-CMP-001,"HTTPS; gateway administration and artifact routes",bidirectional,"BFF-held OAuth token; gateway policy and audit","Safe installation projection and explicit mutations",BFF refresh rotation uses durable gateway token family state
VV-IF-005,Enterprise identity federation,VV-CMP-001,VV-CMP-041,"OIDC discovery; OAuth 2.0; JWKS HTTPS",bidirectional,"Issuer, key, claim, tenant, client, scope, and protected-resource validation","Authorization requests, tokens, claims, public keys",Unknown issuers or keys fail closed
VV-IF-006,Gateway OAuth service,VV-EXT-OAUTH-CLIENT,VV-CMP-001,"OAuth authorization code with PKCE; client credentials; client assertions; ID-JAG",bidirectional,"Authorization server policy; rotating refresh families; replay detection","Authorization codes, access tokens, refresh tokens, metadata",Durable compare-and-swap rotation and bounded duplicate delivery
VV-IF-007,Gateway hosted-server MCP,VV-CMP-001,VV-CMP-HOSTED,"Private HTTP; MCP Streamable HTTP",bidirectional,"Short-lived Ed25519 internal assertion with audience, principal, tenant, labels, and scopes","Canonical server MCP requests and responses",Gateway reconnects per request/session; server state is durable where required
VV-IF-008,Gateway hosted-server administration projection,VV-CMP-001,VV-CMP-HOSTED,"Optional private HTTP under a declared server admin mount",bidirectional,"AdminRead or AdminWrite policy, audit, and short-lived internal assertion","Bounded projection of canonical domain request and response models",Owning server reuses MCP models identities and state; the projection is never a second authority
VV-IF-009,Platform persistence,VV-CMP-PLATFORM,VV-CMP-038,"SurrealDB WebSocket at database scope",bidirectional,"Dedicated runtime credentials; tenant-scoped persistence APIs","Identity, policy, control, tasks, artifacts, recordings, agents, audit, outbox",Transactional outbox is authoritative; LIVE is a latency path only
VV-IF-010,Installation bootstrap,VV-CMP-001,VV-CMP-038,"SurrealDB WebSocket at root scope",outbound,"Separate bootstrap credentials","Ordered migrations, runtime user rotation, initial control revision",Runs to completion before long-lived services
VV-IF-011,Official Tasks projection,VV-CMP-HOSTED,VV-CMP-001,"MCP 2026-07-28 Tasks and request-scoped subscriptions over stateless Streamable HTTP",bidirectional,"Same principal and policy context as tool invocation","Task create, get, update, cancel, status notifications, progress, terminal result",Projects the shared task runtime without a second task store
VV-IF-012,Task persistence,VV-CMP-009,VV-CMP-008,"Rust API and transactional outbox",bidirectional,"Task owner includes tenant, principal, profile, server, and operation","Tasks, leases, inputs, results, provider jobs, retention pins",Resume, WebhookWait, and InterruptedIndeterminate recovery classes
VV-IF-013,Domain artifact operations,VV-CMP-HOSTED,VV-CMP-004,"Private HTTP through artifact client or Python SDK",bidirectional,"Forwarded internal identity or task-bound write capability","Metadata, capabilities, uploads, downloads, grants, releases, share links",Idempotent capability redemption and durable artifact records
VV-IF-014,Artifact byte storage,VV-CMP-004,VV-CMP-039,"Private S3-compatible API",bidirectional,"Installation object-store credentials; Artifact service and bucket initialization only","Artifact blob bytes",Tenant-derived storage keys and content integrity hashes
VV-IF-015,Authorized artifact download,VV-EXT-AUTHORIZED-USER,VV-CMP-001,"HTTPS GET or HEAD /artifacts/{profile}/{artifact_id}/download with one optional byte range",inbound,"Gateway policy and audit; service-side authorization","Backpressured artifact byte stream on the installation origin",No domain-specific byte route or storage redirect
VV-IF-016,Public artifact redemption,VV-EXT-LINK-HOLDER,VV-CMP-004,"HTTPS GET or HEAD /s/{token} with one optional byte range",inbound,"Random read-only bearer; hash-only storage; expiry, limit, release state, revocation","Backpressured artifact byte stream on the installation origin",Edge logging suppresses bearer path
VV-IF-017,Producer recording publication,VV-EXT-PRODUCER,VV-CMP-051,"Producer-loopback Rerun gRPC",outbound,"Loopback receiver; application and recording identities are validated before upload","Native Rerun log messages",Forwarder applies persistent bounded backpressure and restart replay
